event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 54.159.165.80 | 9ca47e40de990831 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/event_leaderboard?select=total_pp%2Cchapters_completed%2Clast_updated%2Cuser_id%2Cusers%28first_name%29&theme=eq.f983b046-bf41-4b73-b75d-65dee6101288&order=total_pp.desc&limit=100 | node,d60d274f-cc02-4dcb-a941-622323ef835a,eeqayafsbxvrvpiycbir,GET,/rest/v1/event_leaderboard,?select=total_pp%2Cchapters_completed%2Clast_updated%2Cuser_id%2Cusers%28first_name%29&theme=eq.f983b046-bf41-4b73-b75d-65dee6101288&order=total_pp.desc&limit=100,200,1770484147346000
HEAD | 200 | 3.81.130.252 | 9ca47e40dfb59c19 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/story_chapters?select=*&theme_id=eq.bd4d3afc-3d88-4bc0-961c-2b2b60bc54ff&is_active=eq.true | node,94ab4b23-6bbb-4c7d-ade8-42d1668df88c,eeqayafsbxvrvpiycbir,HEAD,/rest/v1/story_chapters,?select=*&theme_id=eq.bd4d3afc-3d88-4bc0-961c-2b2b60bc54ff&is_active=eq.true,200,1770484147345000
GET | 200 | 3.81.130.252 | 9ca47e408f6a9c19 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/themes?select=id%2Cname%2Ctitle%2Cdescription%2Cemoji%2Cis_active%2Ctotal_chapters%2Cis_event&is_active=eq.true&is_event=eq.false&order=name.asc | node,f4ab03dc-633b-4ab3-acce-535ef0134588,eeqayafsbxvrvpiycbir,GET,/rest/v1/themes,?select=id%2Cname%2Ctitle%2Cdescription%2Cemoji%2Cis_active%2Ctotal_chapters%2Cis_event&is_active=eq.true&is_event=eq.false&order=name.asc,200,1770484147301000
GET | 406 | 54.159.165.80 | 9ca47e408e3c0831 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/themes?select=name&name=ilike.f983b046-bf41-4b73-b75d-65dee6101288 | node,234e94a4-ec70-41ca-b7fd-7b6313455bf0,eeqayafsbxvrvpiycbir,GET,/rest/v1/themes,?select=name&name=ilike.f983b046-bf41-4b73-b75d-65dee6101288,406,1770484147293000
POST | 200 | 54.159.165.80 | 9ca47e403df40831 | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/get_active_event | node,298c1b25-6b3e-4468-a0da-f998a441da6d,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/get_active_event,null,200,1770484147249000
POST | 200 | 3.81.130.252 | 9ca47e403895d6dd | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/deactivate_expired_events | node,5e5b2618-4744-45b9-be45-5eebbc5ef562,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/deactivate_expired_events,null,200,1770484147245000
GET | 200 | 54.159.165.80 | 9ca47df19bdce62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/themes?select=is_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy | node,46696dc1-efae-44d2-ad52-a7f2bc89a96a,eeqayafsbxvrvpiycbir,GET,/rest/v1/themes,?select=is_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy,200,1770484134672000
GET | 200 | 54.159.165.80 | 9ca47df1692e058c | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/user_progress?select=*&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f | node,15970875-5f9c-4fe3-90ee-b30fe092bcd1,eeqayafsbxvrvpiycbir,GET,/rest/v1/user_progress,?select=*&user_id=eq.fdea8ef7-bab4-44aa-8e6b-b6ee49ef105f,200,1770484134631000
POST | 204 | 54.159.165.80 | 9ca47df12abae62b | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/rpc/increment_global_stat | node,925f7ee5-a682-4d20-89ec-548fc26b0024,eeqayafsbxvrvpiycbir,POST,/rest/v1/rpc/increment_global_stat,null,204,1770484134592000
GET | 200 | 54.159.165.80 | 9ca47df0d8a5058c | https://eeqayafsbxvrvpiycbir.supabase.co/rest/v1/themes?select=name%2Cis_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy | node,4e4768b4-3f66-4506-9c33-c9265365025e,eeqayafsbxvrvpiycbir,GET,/rest/v1/themes,?select=name%2Cis_event%2Cis_active%2Cevent_start_date%2Cevent_end_date&name=ilike.comedy,200,1770484134550000
